scenario,seed,method,false_alarm,detected,detection_delay_trials,pre_shift_rmse,initial_shifted_rmse,target_rmse,recovered,recovery_trials,final_rmse
mixed_context_shift,6601,passive,False,True,2,0.13638612266992228,0.15763166383492136,0.14,True,4,0.05659254577208359
mixed_context_shift,6602,passive,False,True,2,0.14377331040929964,0.1664612550094723,0.14,True,7,0.06046148480390727
mixed_context_shift,6603,passive,False,True,2,0.13160060917391875,0.14472102904450146,0.14,True,5,0.06450099884627905
mixed_context_shift,6604,passive,False,True,2,0.12067506126910378,0.16670463991925402,0.14,True,8,0.07322114682013077
mixed_context_shift,6605,passive,False,True,2,0.12444520368453756,0.14830117405215057,0.14,True,7,0.0657300846553453
mixed_context_shift,6606,passive,False,True,2,0.1333586343310137,0.14730984814878254,0.14,True,4,0.05406786555894568
mixed_context_shift,6607,passive,False,True,2,0.12872520741868484,0.15629611975423624,0.14,True,7,0.0708317480316582
mixed_context_shift,6608,passive,False,True,2,0.13798376045687058,0.1494875493303696,0.14,True,4,0.059868823004776625
mixed_context_shift,6609,passive,False,True,2,0.14422463196635063,0.15527242938806893,0.14,True,7,0.06525371120706229
mixed_context_shift,6610,passive,False,True,2,0.12719431097150521,0.16168333259163573,0.14,True,7,0.07037195079430346
mixed_context_shift,6611,passive,False,True,2,0.1337142809789954,0.15318559784545263,0.14,True,4,0.07143871126180813
mixed_context_shift,6612,passive,False,True,2,0.12232786395742731,0.15137794180939723,0.14,True,4,0.06902615780160096
mixed_context_shift,6613,passive,False,True,1,0.12809299637706378,0.14864049866984916,0.14,True,7,0.07756632126986585
mixed_context_shift,6614,passive,False,True,2,0.052876720326445116,0.13890715650831992,0.075,True,9,0.05377003496576047
mixed_context_shift,6615,passive,False,True,2,0.12690914907134715,0.1560078302408509,0.14,True,4,0.09597059735681043
mixed_context_shift,6616,passive,False,True,2,0.13159518102750214,0.1615109536014425,0.14,True,7,0.07515148984388609
mixed_context_shift,6617,passive,False,True,2,0.12486880029126449,0.15641345215218563,0.14,True,7,0.07219774544800851
mixed_context_shift,6618,passive,False,True,2,0.14144157487192738,0.1721159819239933,0.14,True,8,0.07580559942834612
mixed_context_shift,6619,passive,False,True,2,0.12456135975008933,0.14580611885982048,0.14,True,4,0.06584931341308689
mixed_context_shift,6620,passive,False,True,2,0.11795226661963328,0.13156701168989846,0.14,True,4,0.06355484342268804
mixed_context_shift,6601,full,False,True,2,0.13638612266992228,0.15763166383492136,0.14,True,4,0.06918349801719204
mixed_context_shift,6602,full,False,True,2,0.14377331040929964,0.1664612550094723,0.14,True,4,0.08061646211544536
mixed_context_shift,6603,full,False,True,2,0.13160060917391875,0.14472102904450146,0.14,True,5,0.06785550564922306
mixed_context_shift,6604,full,False,True,2,0.12067506126910378,0.16670463991925402,0.14,True,5,0.08140947788506946
mixed_context_shift,6605,full,False,True,2,0.12444520368453756,0.14830117405215057,0.14,True,4,0.07321817942028057
mixed_context_shift,6606,full,False,True,2,0.1333586343310137,0.14730984814878254,0.14,True,4,0.06409211228330079
mixed_context_shift,6607,full,False,True,2,0.12872520741868484,0.15629611975423624,0.14,True,4,0.07707771500284692
mixed_context_shift,6608,full,False,True,2,0.13798376045687058,0.1494875493303696,0.14,True,4,0.06648216735959137
mixed_context_shift,6609,full,False,True,2,0.14422463196635063,0.15527242938806893,0.14,True,6,0.08291255721377035
mixed_context_shift,6610,full,False,True,2,0.12719431097150521,0.16168333259163573,0.14,True,4,0.0698228097805767
mixed_context_shift,6611,full,False,True,2,0.1337142809789954,0.15318559784545263,0.14,True,4,0.0724563648079427
mixed_context_shift,6612,full,False,True,2,0.12232786395742731,0.15137794180939723,0.14,True,4,0.07483430479269164
mixed_context_shift,6613,full,False,True,1,0.12809299637706378,0.14864049866984916,0.14,True,5,0.08449580190142802
mixed_context_shift,6614,full,False,True,2,0.052876720326445116,0.13890715650831992,0.075,True,9,0.05576548408325232
mixed_context_shift,6615,full,False,True,2,0.12690914907134715,0.1560078302408509,0.14,True,4,0.08117890407693948
mixed_context_shift,6616,full,False,True,2,0.13159518102750214,0.1615109536014425,0.14,True,5,0.07751343690100186
mixed_context_shift,6617,full,False,True,2,0.12486880029126449,0.15641345215218563,0.14,True,4,0.08024203717952803
mixed_context_shift,6618,full,False,True,2,0.14144157487192738,0.1721159819239933,0.14,True,7,0.08113326405122281
mixed_context_shift,6619,full,False,True,2,0.12456135975008933,0.14580611885982048,0.14,True,4,0.062212976823540676
mixed_context_shift,6620,full,False,True,2,0.11795226661963328,0.13156701168989846,0.14,True,4,0.06022929386668105
