scenario,seed,method,false_alarm,detected,detection_delay_trials,pre_shift_rmse,initial_shifted_rmse,target_rmse,recovered,recovery_trials,final_rmse
final_gain_recoupling,17101,frozen,False,True,3,0.08061731837556123,0.10713094145435444,0.1048025138882296,True,8,0.1615582782496623
final_gain_recoupling,17102,frozen,False,True,3,0.06134121187375954,0.08605457957494676,0.0797435754358874,False,13,0.12732300675832053
final_gain_recoupling,17103,frozen,False,True,3,0.06731727618717329,0.09106052083898235,0.08751245904332527,False,13,0.14228409306813092
final_gain_recoupling,17104,frozen,False,True,3,0.05691796983154426,0.09318837775733717,0.075,False,13,0.13391141698596257
final_gain_recoupling,17105,frozen,False,True,3,0.05577000077759001,0.09144091425775958,0.075,False,13,0.1304216621949674
final_gain_recoupling,17106,frozen,False,True,3,0.06927020832386531,0.08383183787341048,0.0900512708210249,False,13,0.12951990085398934
final_gain_recoupling,17107,frozen,False,True,4,0.0611972242278403,0.0862141926423863,0.07955639149619238,False,13,0.1342428282055721
final_gain_recoupling,17108,frozen,False,True,3,0.07283382526847362,0.0826862073287088,0.09468397284901571,False,13,0.12948829919677712
final_gain_recoupling,17109,frozen,False,True,3,0.06246036397702059,0.09581437665113227,0.08119847317012677,False,13,0.15662909414230503
final_gain_recoupling,17110,frozen,False,True,4,0.07316287299780395,0.09742906023171889,0.09511173489714514,False,13,0.14651816070398574
final_gain_recoupling,17111,frozen,False,True,3,0.06643974094393654,0.10059092086055746,0.0863716632271175,False,13,0.14417075897877196
final_gain_recoupling,17112,frozen,False,True,3,0.07787401497121983,0.09390394947982504,0.10123621946258579,True,8,0.15827572244245353
final_gain_recoupling,17113,frozen,False,True,3,0.08053806476289858,0.09277103378573166,0.10469948419176817,True,6,0.13143070421495723
final_gain_recoupling,17114,frozen,False,True,3,0.08115114450706284,0.09222215413840366,0.1054964878591817,True,6,0.15090210084096997
final_gain_recoupling,17115,frozen,False,True,4,0.07316257588058092,0.08859108818568069,0.0951113486447552,False,13,0.1508128764980931
final_gain_recoupling,17116,frozen,False,True,2,0.07607137296604867,0.08662674455910564,0.09889278485586328,True,6,0.1312282695310916
final_gain_recoupling,17117,frozen,False,True,3,0.07898339106066946,0.10376983695068176,0.1026784083788703,False,13,0.1573641408375409
final_gain_recoupling,17118,frozen,False,True,2,0.07539678994110259,0.08348701917141092,0.09801582692343337,True,6,0.1341344203742609
final_gain_recoupling,17119,frozen,False,True,3,0.06590298659129118,0.09312845356440727,0.08567388256867854,False,13,0.1326530104043467
